,0
0,Intriguing properties of neural networks
1,Explaining and Harnessing Adversarial Examples
2,Towards Evaluating the Robustness of Neural Networks
3,Adversarial Machine Learning at Scale
4,SoK: Security and Privacy in Machine Learning
5,Ensemble Adversarial Training: Attacks and Defenses
6,Thermometer Encoding: One Hot Way To Resist Adversarial Examples
7,Stochastic Activation Pruning for Robust Adversarial Defense
8,Defense-GAN: Protecting Classifiers Against Adversarial Attacks Using Generative Models
9,Countering Adversarial Images using Input Transformations
10,Obfuscated Gradients Give a False Sense of Security: Circumventing Defenses to Adversarial Examples
11,Adversarial Examples for Malware Detection
12,Generating Natural Adversarial Examples
13,Adversarial Examples: Attacks and Defenses for Deep Learning
14,Threat of Adversarial Attacks on Deep Learning in Computer Vision: A Survey
15,DPATCH: An Adversarial Patch Attack on Object Detectors
16,Transferability in Machine Learning: from Phenomena to Black-Box Attacks using Adversarial Samples
17,Delving into Transferable Adversarial Examples and Black-box Attacks
18,Maxout Networks
19,Adversarial examples in the physical world
20,DeepFool: A Simple and Accurate Method to Fool Deep Neural Networks
21,The Limitations of Deep Learning in Adversarial Settings
22,Adversarial Diversity and Hard Positive Generation
23,Universal Adversarial Perturbations
24,Adversarial Examples for Generative Models
25,Learning to Attack: Adversarial Transformation Networks
26,Adversarial Examples for Semantic Segmentation and Object Detection
27,ZOO: Zeroth Order Optimization Based Black-box Attacks to Deep Neural Networks without Training Substitute Models
28,One Pixel Attack for Fooling Deep Neural Networks
29,Boosting Adversarial Attacks with Momentum
30,Generating Adversarial Examples with Adversarial Networks
31,Decision-Based Adversarial Attacks: Reliable Attacks Against Black-Box Machine Learning Models
32,Spatially Transformed Adversarial Examples
33,Synthesizing Robust Adversarial Examples
34,Adversarial Risk and the Dangers of Evaluating Against Weak Attacks
35,Adversarial Attacks on Neural Network Policies
36,Adversarial Examples for Semantic Image Segmentation
37,Adversarial Attacks and Defences Competition
38,Wasserstein Generative Adversarial Networks
39,Robust Physical Adversarial Attack on Faster R-CNN Object Detector
40,Defense Against Adversarial Attacks Using High-Level Representation Guided Denoiser
41,Adversarial attacks on Copyright Detection Systems
42,Man against machine: diagnostic performance of a deep learning convolutional neural network for dermoscopic melanoma recognition in comparison to 58 dermatologists
43,Adversarial Attacks Against Medical Deep Learning Systems
44,Towards Deep Neural Network Architectures Robust to Adversarial Examples
45,Defensive Distillation is Not Robust to Adversarial Examples
46,Adversarial Logit Pairing
47,Fortified Networks: Improving the Robustness of Deep Networks by Modeling the Manifold of Hidden Representations
48,Towards the first adversarially robust neural network model on MNIST
49,Defense Against Adversarial Images Using Web-Scale Nearest-Neighbor Search
50,ME-Net: Towards Effective Adversarial Robustness with Matrix Estimation
51,On Detecting Adversarial Perturbations
52,Adversarial and Clean Data Are Not Twins
53,Blocking Transferability of Adversarial Examples in Black-Box Learning Systems
54,Detecting Adversarial Samples from Artifacts
55,Feature Squeezing: Detecting Adversarial Examples in Deep Neural Networks
56,Understanding adversarial training: Increasing local stability of supervised models through robust optimization
57,Data-driven distributionally robust optimization using the Wasserstein metric: performance guarantees and tractable reformulations
58,Robustness May Be at Odds with Accuracy
59,Learning Perceptually-Aligned Representations via Adversarial Robustness
60,Adversarial Training and Robustness for Multiple Perturbations
61,Transfer of Adversarial Robustness Between Perturbation Types
62,A study of the effect of JPG compression on adversarial images
63,Provable defenses against adversarial examples via the convex outer adversarial polytope
64,Certified Defenses against Adversarial Examples
65,Extracting and composing robust features with denoising autoencoders
66,Adversarial Examples Are Not Easily Detected: Bypassing Ten Detection Methods
67,The Space of Transferable Adversarial Examples
68,On the Connection Between Adversarial Robustness and Saliency Map Interpretability
69,ImageNet-trained CNNs are biased towards texture; increasing shape bias improves accuracy and robustness
70,On Evaluating Adversarial Robustness
71,Beyond Pixel Norm-Balls: Parametric Adversaries using an Analytically Differentiable Renderer
72,Distillation as a Defense to Adversarial Perturbations Against Deep Neural Networks
73,Characterizing Adversarial Subspaces Using Local Intrinsic Dimensionality
74,Mitigating adversarial effects through randomization
75,PixelDefend: Leveraging Generative Models to Understand and Defend against Adversarial Examples
76,Accessorize to a Crime: Real and Stealthy Attacks on State-of-the-Art Face Recognition
77,The Vanishing Gradient Problem During Learning Recurrent Neural Nets and Problem Solutions
78,Decoupling Direction and Norm for Efficient Gradient-Based L2 Adversarial Attacks and Defenses
79,Evaluating and Understanding the Robustness of Adversarial Logit Pairing
80,Robust Deep Learning via Reverse Cross-Entropy Training and Thresholding Test
81,Learning with a Strong Adversary
82,Adversarial Manipulation of Deep Representations
83,Measuring Invariances in Deep Networks
84,Visualizing Higher-Layer Features of a Deep Network
85,Learning Deep Architectures for AI
86,Building high-level features using large scale unsupervised learning
87,Visualizing and Understanding Convolutional Networks
88,ImageNet classification with deep convolutional neural networks
89,"A discriminatively trained, multiscale, deformable part model"
90,Rich Feature Hierarchies for Accurate Object Detection and Semantic Segmentation
91,Deep Neural Networks for Acoustic Modeling in Speech Recognition: The Shared Views of Four Research Groups
92,Efficient Estimation of Word Representations in Vector Space
93,ImageNet: A large-scale hierarchical image database
94,How to Explain Individual Classification Decisions
95,"Severe Outcomes Among Patients with Coronavirus Disease 2019 (COVID-19) - United States, February 12-March 16, 2020."
96,The mnist database of handwritten digits
97,Visualizing and Understanding Convolutional Neural Networks
98,Neural Networks with Adaptive Activation Functions
99,Survey on Deep Neural Networks in Speech using Natural Language Processing
100,Dropout: a simple way to prevent neural networks from overfitting
101,Learning Multiple Layers of Features from Tiny Images
102,Deep neural networks are easily fooled: High confidence predictions for unrecognizable images
103,Going deeper with convolutions
104,Long Short-Term Memory
105,Large Scale Distributed Deep Networks
106,Multi-Prediction Deep Boltzmann Machines
107,Theano: A CPU and GPU Math Compiler in Python
108,Deep Residual Learning for Image Recognition
109,Adam: A Method for Stochastic Optimization
110,Batch Normalization: Accelerating Deep Network Training by Reducing Internal Covariate Shift
111,Gradient-based learning applied to document recognition
112,Rethinking the Inception Architecture for Computer Vision
113,Human-level control through deep reinforcement learning
114,Mastering the game of Go with deep neural networks and tree search
115,Distilling the Knowledge in a Neural Network
116,Speech recognition with deep recurrent neural networks
117,ImageNet Large Scale Visual Recognition Challenge
118,Anomaly detection: A survey
119,Fast and Accurate Deep Network Learning by Exponential Linear Units (ELUs)
120,Striving for Simplicity: The All Convolutional Net
121,Safety Verification of Deep Neural Networks
122,Adversarial Perturbations Against Deep Neural Networks for Malware Classification
123,GradientBased Learning Applied to Document Recognition
124,Playing Atari with Deep Reinforcement Learning
125,Measuring Neural Net Robustness with Constraints
126,Rectifier Nonlinearities Improve Neural Network Acoustic Models
127,End to End Learning for Self-Driving Cars
128,Technical Report on the CleverHans v2.1.0 Adversarial Examples Library
129,Cleverhans V0.1: an Adversarial Machine Learning Library
130,All you need is a good init
131,Malware classification with recurrent networks
132,Large-scale malware classification using random projections and neural networks
133,The vermiform appendix impacts the risk of developing Parkinson’s disease
134,"Fast, Lean, and Accurate: Modeling Password Guessability Using Neural Networks"
135,Fractional Max-Pooling
136,Hidden Voice Commands
