,0
0,Blind Attacks on Machine Learners
1,Adversarial Spheres
2,Dimensionality Reduction as a Defense against Evasion Attacks on Machine Learning Classifiers
3,Adversarial Training for Relation Extraction
4,Photo-Realistic Single Image Super-Resolution Using a Generative Adversarial Network
5,“Unpaired Image-to-Image Translation using Cycle-Consistent Adversarial Networks”の学習報告
6,Reluplex: An Efficient SMT Solver for Verifying Deep Neural Networks
7,Self-Normalizing Neural Networks
8,Scaling learning algorithms towards AI
9,Opening the Black Box of Deep Neural Networks via Information
10,Learning Fast and Slow: PROPEDEUTICA for Real-time Malware Detection
11,Delving Deep into Rectifiers: Surpassing Human-Level Performance on ImageNet Classification
12,Autoencoding beyond pixels using a learned similarity metric
13,Grad-CAM: Visual Explanations from Deep Networks via Gradient-Based Localization
14,Faster R-CNN: Towards Real-Time Object Detection with Region Proposal Networks
15,Asynchronous Methods for Deep Reinforcement Learning
16,Network In Network
17,Very Deep Convolutional Networks for Large-Scale Image Recognition
18,Do Deep Nets Really Need to be Deep?
19,Adaptive Subgradient Methods for Online Learning and Stochastic Optimization
20,Full Resolution Image Compression with Recurrent Neural Networks
21,"You Only Look Once: Unified, Real-Time Object Detection"
22,Robots that can adapt like animals
23,Pattern Recognition Systems under Attack: Design Issues and Research Challenges
24,A Survey of Modern Questions and Challenges in Feature Extraction
25,Fully convolutional networks for semantic segmentation
26,Unsupervised Image-to-Image Translation Networks
27,WaveNet: A Generative Model for Raw Audio
28,"YOLO9000: Better, Faster, Stronger"
29,Mastering the game of Go without human knowledge
30,Single Shot Text Detector with Regional Attention
31,Rethinking Atrous Convolution for Semantic Image Segmentation
32,ArcFace: Additive Angular Margin Loss for Deep Face Recognition
33,Mastering Chess and Shogi by Self-Play with a General Reinforcement Learning Algorithm
34,DolphinAttack: Inaudible Voice Commands
35,"SQuAD: 100, 000+ Questions for Machine Comprehension of Text"
36,The IBM 2015 English conversational telephone speech recognition system
37,A Fast Uyghur Text Detector for Complex Background Images
38,Image Quality Assessment Using the SSIM and the Just Noticeable Difference Paradigm
39,The Mythos of Model Interpretability
40,Recommender Systems Based on Generative Adversarial Networks: A Problem-Driven Perspective
41,Can we open the black box of AI?
42,Export laws: China is selling on surveillance technology to the rest of the world
43,I Want to Have Your Baby
44,Grad-CAM: Why did you say that? Visual Explanations from Deep Networks via Gradient-based Localization
45,Deep learning in neural networks: An overview
46,Who is afraid of a black Spider(-Man)?
47,TensorFlow: Large-Scale Machine Learning on Heterogeneous Distributed Systems
48,Deep Spiking Neural Networks: Study on the MNIST and N-MNIST Data Sets
49,Analysis of the MNIST Data Set with LIBSVM Software and K-Nearest Neighbors
50,Three Strategies to Success: Learning Adversary Models in Security Games
51,The growth of Diaspora - A decentralized online social network in the wild
52,Parametric Image Alignment Using Enhanced Correlation Coefficient Maximization
53,Visual Causal Feature Learning
54,Pylearn2: a machine learning research library
55,What is the best multi-stage architecture for object recognition?
56,Deep Sparse Rectifier Neural Networks
57,Multilayer feedforward networks are universal approximators
58,Theano: new features and speed improvements
59,Spatiotemporal Elements of Macaque V1 Receptive Fields
60,Under Review as a Conference Paper at Iclr 2017 Delving into Transferable Adversarial Ex- Amples and Black-box Attacks
61,Interpretable classifiers using rules and Bayesian analysis: Building a better stroke prediction model
62,Analyzing Computer Security - A Threat / Vulnerability / Countermeasure Approach
63,Data clustering: a review
64,Inherent Trade-Offs in the Fair Determination of Risk Scores
65,Are Loss Functions All the Same?
66,Visualizing Deep Convolutional Neural Networks Using Natural Pre-images
67,Learning SVMs from Sloppily Labeled Data
68,Good Word Attacks on Statistical Spam Filters
69,Exploring the Landscape of Spatial Robustness
70,CRC Handbook of Combinatorial Designs
71,A non-local algorithm for image denoising
72,Fast Approximate Energy Minimization via Graph Cuts
73,NO Need to Worry about Adversarial Examples in Object Detection in Autonomous Vehicles
74,Image quilting for texture synthesis and transfer
75,Deep Speech 2 : End-to-End Speech Recognition in English and Mandarin
76,Robustness of classifiers: from adversarial to random noise
77,Houdini: Fooling Deep Structured Prediction Models
78,Attacking the Madry Defense Model with L1-based Adversarial Examples
79,The Robust Manifold Defense: Adversarial Training using Generative Models
80,Letter: Primary amoebic meningoencephalitis after swimming in stream water.
81,A large annotated corpus for learning natural language inference
82,Robust Physical-World Attacks on Deep Learning Models
83,Caffe: Convolutional Architecture for Fast Feature Embedding
84,Return of the Devil in the Details: Delving Deep into Convolutional Nets
85,Virtual Adversarial Training: A Regularization Method for Supervised and Semi-Supervised Learning
86,Adversarial Examples Detection in Deep Networks with Convolutional Filter Statistics
87,Simple Black-Box Adversarial Perturbations for Deep Networks
88,Dermatologist-level classification of skin cancer with deep neural networks
89,Auto-Encoding Variational Bayes
90,Crafting adversarial input sequences for recurrent neural networks
91,Improving the Adversarial Robustness and Interpretability of Deep Neural Networks by Regularizing their Input Gradients
92,Feature-Guided Black-Box Safety Testing of Deep Neural Networks
93,Ensemble Methods as a Defense to Adversarial Perturbations Against Deep Neural Networks
94,Defense Against Universal Adversarial Perturbations
95,Keeping the Bad Guys Out: Protecting and Vaccinating Deep Learning with JPEG Compression
96,Detecting Adversarial Examples in Deep Networks with Adaptive Noise Reduction
97,Tactics of Adversarial Attack on Deep Reinforcement Learning Agents
98,Fast Feature Fool: A data independent approach to universal adversarial perturbations
