,id,year,title,ref,author
0,@articleSzegedy2014IntriguingPO,2014,Intriguing properties of neural networks,"Szegedy, Christian et al. “Intriguing properties of neural networks.” CoRR abs/1312.6199 (2014): n. pag.","['Christian Szegedy', 'W. Zaremba', 'Ilya Sutskever', 'Joan Bruna', 'D. Erhan', 'Ian J. Goodfellow', 'R. Fergus']"
1,@articleGoodfellow2015ExplainingAH,2015,Explaining and Harnessing Adversarial Examples,"Goodfellow, Ian J. et al. “Explaining and Harnessing Adversarial Examples.” CoRR abs/1412.6572 (2015): n. pag.","['Ian J. Goodfellow', 'Jonathon Shlens', 'Christian Szegedy']"
2,@articleCarlini2017TowardsET,2017,Towards Evaluating the Robustness of Neural Networks,"Carlini, Nicholas and D. Wagner. “Towards Evaluating the Robustness of Neural Networks.” 2017 IEEE Symposium on Security and Privacy (SP) (2017): 39-57.","['Nicholas Carlini', 'D. Wagner']"
3,@articleKurakin2017AdversarialML,2017,Adversarial Machine Learning at Scale,"Kurakin, A. et al. “Adversarial Machine Learning at Scale.” ArXiv abs/1611.01236 (2017): n. pag.","['A. Kurakin', 'Ian J. Goodfellow', 'S. Bengio']"
4,@articlePapernot2018SoKSA,2018,SoK: Security and Privacy in Machine Learning,"Papernot, Nicolas et al. “SoK: Security and Privacy in Machine Learning.” 2018 IEEE European Symposium on Security and Privacy (EuroS&P) (2018): 399-414.","['Nicolas Papernot', 'P. McDaniel', 'Arunesh Sinha', 'Michael P. Wellman']"
5,@articleTramr2018EnsembleAT,2018,Ensemble Adversarial Training: Attacks and Defenses,"Tramèr, Florian et al. “Ensemble Adversarial Training: Attacks and Defenses.” ArXiv abs/1705.07204 (2018): n. pag.","['Florian Tram\\`er', 'A. Kurakin', 'Nicolas Papernot', 'D. Boneh', 'P. McDaniel']"
6,@inproceedingsBuckman2018ThermometerEO,2018,Thermometer Encoding: One Hot Way To Resist Adversarial Examples,"Buckman, J. et al. “Thermometer Encoding: One Hot Way To Resist Adversarial Examples.” ICLR (2018).","['J. Buckman', 'Aurko Roy', 'Colin Raffel', 'Ian J. Goodfellow']"
7,@articleDhillon2018StochasticAP,2018,Stochastic Activation Pruning for Robust Adversarial Defense,"Dhillon, Guneet S. et al. “Stochastic Activation Pruning for Robust Adversarial Defense.” ArXiv abs/1803.01442 (2018): n. pag.","['Guneet S. Dhillon', 'Kamyar Azizzadenesheli', 'Zachary Chase Lipton', 'J. Bernstein', 'Jean Kossaifi', 'A. Khanna', 'Anima An', 'kumar']"
8,@articleSamangouei2018DefenseGANPC,2018,Defense-GAN: Protecting Classifiers Against Adversarial Attacks Using Generative Models,"Samangouei, Pouya et al. “Defense-GAN: Protecting Classifiers Against Adversarial Attacks Using Generative Models.” ArXiv abs/1805.06605 (2018): n. pag.","['Pouya Samangouei', 'Maya Kabkab', 'R. Chellappa']"
9,@articleGuo2018CounteringAI,2018,Countering Adversarial Images using Input Transformations,"Guo, Chuan et al. “Countering Adversarial Images using Input Transformations.” ArXiv abs/1711.00117 (2018): n. pag.","['Chuan Guo', 'Mayank Rana', ""M. Ciss\\'e"", 'L. V. D. Maaten']"
10,@articleAthalye2018ObfuscatedGG,2018,Obfuscated Gradients Give a False Sense of Security: Circumventing Defenses to Adversarial Examples,"Athalye, A. et al. “Obfuscated Gradients Give a False Sense of Security: Circumventing Defenses to Adversarial Examples.” ArXiv abs/1802.00420 (2018): n. pag.","['A. Athalye', 'Nicholas Carlini', 'D. Wagner']"
11,@inproceedingsGrosse2017AdversarialEF,2017,Adversarial Examples for Malware Detection,"Grosse, Kathrin et al. “Adversarial Examples for Malware Detection.” ESORICS (2017).","['Kathrin Grosse', 'Nicolas Papernot', 'P. Manoharan', 'M. Backes', 'P. McDaniel']"
12,@articleZhao2018GeneratingNA,2018,Generating Natural Adversarial Examples,"Zhao, Zhengli et al. “Generating Natural Adversarial Examples.” ArXiv abs/1710.11342 (2018): n. pag.","['Zhengli Zhao', 'Dheeru Dua', 'Sameer Singh']"
13,@articleYuan2019AdversarialEA,2019,Adversarial Examples: Attacks and Defenses for Deep Learning,"Yuan, Xiaoyong et al. “Adversarial Examples: Attacks and Defenses for Deep Learning.” IEEE Transactions on Neural Networks and Learning Systems 30 (2019): 2805-2824.","['Xiaoyong Yuan', 'Pan He', 'Qile Zhu', 'X. Li']"
14,@articleAkhtar2018ThreatOA,2018,Threat of Adversarial Attacks on Deep Learning in Computer Vision: A Survey,"Akhtar, N. and A. Mian. “Threat of Adversarial Attacks on Deep Learning in Computer Vision: A Survey.” IEEE Access 6 (2018): 14410-14430.","['N. Akhtar', 'A. Mian']"
15,@articleLiu2019DPATCHAA,2019,DPATCH: An Adversarial Patch Attack on Object Detectors,"Liu, Xin et al. “DPATCH: An Adversarial Patch Attack on Object Detectors.” arXiv: Computer Vision and Pattern Recognition (2019): n. pag.","['Xin Liu', 'Huanrui Yang', 'Z. Liu', 'Linghao Song', 'Yiran Chen', 'Hai Li']"
16,@articlePapernot2016TransferabilityIM,2016,Transferability in Machine Learning: from Phenomena to Black-Box Attacks using Adversarial Samples,"Papernot, Nicolas et al. “Transferability in Machine Learning: from Phenomena to Black-Box Attacks using Adversarial Samples.” ArXiv abs/1605.07277 (2016): n. pag.","['Nicolas Papernot', 'P. McDaniel', 'Ian J. Goodfellow']"
17,@articleLiu2017DelvingIT,2017,Delving into Transferable Adversarial Examples and Black-box Attacks,"Liu, Y. et al. “Delving into Transferable Adversarial Examples and Black-box Attacks.” ArXiv abs/1611.02770 (2017): n. pag.","['Y. Liu', 'X. Chen', 'Chang Liu', 'D. Song']"
18,@inproceedingsGoodfellow2013MaxoutN,2013,Maxout Networks,"Goodfellow, Ian J. et al. “Maxout Networks.” ICML (2013).","['Ian J. Goodfellow', 'David Warde-Farley', 'M. Mirza', 'Aaron C. Courville', 'Yoshua Bengio']"
19,@articleKurakin2017AdversarialEI,2017,Adversarial examples in the physical world,"Kurakin, A. et al. “Adversarial examples in the physical world.” ArXiv abs/1607.02533 (2017): n. pag.","['A. Kurakin', 'Ian J. Goodfellow', 'S. Bengio']"
20,@articleMoosaviDezfooli2016DeepFoolAS,2016,DeepFool: A Simple and Accurate Method to Fool Deep Neural Networks,"Moosavi-Dezfooli, Seyed-Mohsen et al. “DeepFool: A Simple and Accurate Method to Fool Deep Neural Networks.” 2016 IEEE Conference on Computer Vision and Pattern Recognition (CVPR) (2016): 2574-2582.","['Seyed-Mohsen Moosavi-Dezfooli', 'Alhussein Fawzi', 'P. Frossard']"
21,@articlePapernot2016TheLO,2016,The Limitations of Deep Learning in Adversarial Settings,"Papernot, Nicolas et al. “The Limitations of Deep Learning in Adversarial Settings.” 2016 IEEE European Symposium on Security and Privacy (EuroS&P) (2016): 372-387.","['Nicolas Papernot', 'P. McDaniel', 'S. Jha', 'Matt Fredrikson', 'Z. Y. Celik', 'A. Swami']"
22,@articleRozsa2016AdversarialDA,2016,Adversarial Diversity and Hard Positive Generation,"Rozsa, Andras et al. “Adversarial Diversity and Hard Positive Generation.” 2016 IEEE Conference on Computer Vision and Pattern Recognition Workshops (CVPRW) (2016): 410-417.","['Andras Rozsa', 'Ethan M. Rudd', 'T. Boult']"
23,@articleMoosaviDezfooli2017UniversalAP,2017,Universal Adversarial Perturbations,"Moosavi-Dezfooli, Seyed-Mohsen et al. “Universal Adversarial Perturbations.” 2017 IEEE Conference on Computer Vision and Pattern Recognition (CVPR) (2017): 86-94.","['Seyed-Mohsen Moosavi-Dezfooli', 'Alhussein Fawzi', 'Omar Fawzi', 'P. Frossard']"
24,@articleKos2018AdversarialEF,2018,Adversarial Examples for Generative Models,"Kos, J. et al. “Adversarial Examples for Generative Models.” 2018 IEEE Security and Privacy Workshops (SPW) (2018): 36-42.","['J. Kos', 'I. Fischer', 'D. Song']"
25,@inproceedingsBaluja2018LearningTA,2018,Learning to Attack: Adversarial Transformation Networks,"Baluja, S. and Ian S. Fischer. “Learning to Attack: Adversarial Transformation Networks.” AAAI (2018).","['S. Baluja', 'Ian S. Fischer']"
26,@articleXie2017AdversarialEF,2017,Adversarial Examples for Semantic Segmentation and Object Detection,"Xie, Cihang et al. “Adversarial Examples for Semantic Segmentation and Object Detection.” 2017 IEEE International Conference on Computer Vision (ICCV) (2017): 1378-1387.","['Cihang Xie', 'Jianyu Wang', 'Zhishuai Zhang', 'Yuyin Zhou', 'Lingxi Xie', 'A. Yuille']"
27,@articleChen2017ZOOZO,2017,ZOO: Zeroth Order Optimization Based Black-box Attacks to Deep Neural Networks without Training Substitute Models,"Chen, P. et al. “ZOO: Zeroth Order Optimization Based Black-box Attacks to Deep Neural Networks without Training Substitute Models.” Proceedings of the 10th ACM Workshop on Artificial Intelligence and Security (2017): n. pag.","['P. Chen', 'Huan Zhang', 'Yash Sharma', 'Jinfeng Yi', 'Cho-Jui Hsieh']"
28,@articleSu2019OnePA,2019,One Pixel Attack for Fooling Deep Neural Networks,"Su, Jiawei et al. “One Pixel Attack for Fooling Deep Neural Networks.” IEEE Transactions on Evolutionary Computation 23 (2019): 828-841.","['Jiawei Su', 'Danilo Vasconcellos Vargas', 'K. Sakurai']"
29,@articleDong2018BoostingAA,2018,Boosting Adversarial Attacks with Momentum,"Dong, Yinpeng et al. “Boosting Adversarial Attacks with Momentum.” 2018 IEEE/CVF Conference on Computer Vision and Pattern Recognition (2018): 9185-9193.","['Yinpeng Dong', 'Fangzhou Liao', 'Tianyu Pang', 'H. Su', 'J. Zhu', 'Xiaolin Hu', 'J. Li']"
30,@articleXiao2018GeneratingAE,2018,Generating Adversarial Examples with Adversarial Networks,"Xiao, Chaowei et al. “Generating Adversarial Examples with Adversarial Networks.” ArXiv abs/1801.02610 (2018): n. pag.","['Chaowei Xiao', 'Bo Li', 'Jun-Yan Zhu', 'Warren He', 'M. Liu', 'D. Song']"
31,@articleBrendel2018DecisionBasedAA,2018,Decision-Based Adversarial Attacks: Reliable Attacks Against Black-Box Machine Learning Models,"Brendel, W. et al. “Decision-Based Adversarial Attacks: Reliable Attacks Against Black-Box Machine Learning Models.” ArXiv abs/1712.04248 (2018): n. pag.","['W. Brendel', 'Jonas Rauber', 'M. Bethge']"
32,@articleXiao2018SpatiallyTA,2018,Spatially Transformed Adversarial Examples,"Xiao, Chaowei et al. “Spatially Transformed Adversarial Examples.” ArXiv abs/1801.02612 (2018): n. pag.","['Chaowei Xiao', 'Jun-Yan Zhu', 'Bo Li', 'Warren He', 'M. Liu', 'D. Song']"
33,@articleAthalye2018SynthesizingRA,2018,Synthesizing Robust Adversarial Examples,"Athalye, A. et al. “Synthesizing Robust Adversarial Examples.” ArXiv abs/1707.07397 (2018): n. pag.","['A. Athalye', 'L. Engstrom', 'Andrew Ilyas', 'Kevin Kwok']"
34,@articleUesato2018AdversarialRA,2018,Adversarial Risk and the Dangers of Evaluating Against Weak Attacks,"Uesato, Jonathan et al. “Adversarial Risk and the Dangers of Evaluating Against Weak Attacks.” ArXiv abs/1802.05666 (2018): n. pag.","['Jonathan Uesato', ""Brendan O'Donoghue"", 'A. Oord', 'Pushmeet Kohli']"
35,@articleHuang2017AdversarialAO,2017,Adversarial Attacks on Neural Network Policies,"Huang, Sandy H. et al. “Adversarial Attacks on Neural Network Policies.” ArXiv abs/1702.02284 (2017): n. pag.","['S', 'y H. Huang', 'Nicolas Papernot', 'Ian J. Goodfellow', 'Yan Duan', 'P. Abbeel']"
36,@articleFischer2017AdversarialEF,2017,Adversarial Examples for Semantic Image Segmentation,"Fischer, Volker et al. “Adversarial Examples for Semantic Image Segmentation.” ArXiv abs/1703.01101 (2017): n. pag.","['Volker Fischer', 'Mummadi Chaithanya Kumar', 'J. H. Metzen', 'T. Brox']"
37,@articleKurakin2018AdversarialAA,2018,Adversarial Attacks and Defences Competition,"Kurakin, A. et al. “Adversarial Attacks and Defences Competition.” ArXiv abs/1804.00097 (2018): n. pag.","['A. Kurakin', 'Ian J. Goodfellow', 'S. Bengio', 'Yinpeng Dong', 'Fangzhou Liao', 'M. Liang', 'Tianyu Pang', 'Jun Zhu', 'Xiaolin Hu', 'Cihang Xie', 'Jianyu Wang', 'Zhishuai Zhang', 'Zhou Ren', 'A. Yuille', 'Sangxia Huang', 'Y. Zhao', 'Zhonglin Han', 'J. Long', 'Yerkebulan Berdibekov', 'Takuya Akiba', 'Seiya Tokui', 'M. Abe']"
38,@inproceedingsArjovsky2017WassersteinGA,2017,Wasserstein Generative Adversarial Networks,"Arjovsky, Martín et al. “Wasserstein Generative Adversarial Networks.” ICML (2017).","[""Mart\\'in Arjovsky"", 'Soumith Chintala', 'L. Bottou']"
39,@inproceedingsChen2018RobustPA,2018,Robust Physical Adversarial Attack on Faster R-CNN Object Detector,"Chen, Shang-Tse et al. “Robust Physical Adversarial Attack on Faster R-CNN Object Detector.” ECML/PKDD (2018).","['Shang-Tse Chen', 'Cory Cornelius', 'J. Martin', 'Duen Horng Chau']"
40,@articleLiao2018DefenseAA,2018,Defense Against Adversarial Attacks Using High-Level Representation Guided Denoiser,"Liao, Fangzhou et al. “Defense Against Adversarial Attacks Using High-Level Representation Guided Denoiser.” 2018 IEEE/CVF Conference on Computer Vision and Pattern Recognition (2018): 1778-1787.","['Fangzhou Liao', 'Ming Liang', 'Yinpeng Dong', 'Tianyu Pang', 'J. Zhu', 'Xiaolin Hu']"
41,@articleSaadatpanah2019AdversarialAO,2019,Adversarial attacks on Copyright Detection Systems,"Saadatpanah, Parsa et al. “Adversarial attacks on Copyright Detection Systems.” ArXiv abs/1906.07153 (2019): n. pag.","['Parsa Saadatpanah', 'A. Shafahi', 'T. Goldstein']"
