,0
0,Analysis of classifiers’ robustness to adversarial perturbations
1,signSGD: compressed optimisation for non-convex problems
2,"Deep Compression: Compressing Deep Neural Network with Pruning, Trained Quantization and Huffman Coding"
3,On Calibration of Modern Neural Networks
4,The Arcade Learning Environment: An Evaluation Platform for General Agents (Extended Abstract)
5,MXNet: A Flexible and Efficient Machine Learning Library for Heterogeneous Distributed Systems
6,A Course in Game Theory
7,MagNet: A Two-Pronged Defense against Adversarial Examples
8,Improved Training of Wasserstein GANs
9,Early Methods for Detecting Adversarial Images
10,Task-Aware Compressed Sensing with Generative Adversarial Networks
11,Deep Learning Face Attributes in the Wild
12,Fashion-MNIST: a Novel Image Dataset for Benchmarking Machine Learning Algorithms
13,Densely Connected Convolutional Networks
14,Nonlinear total variation based noise removal algorithms
15,The Split Bregman Method for L1-Regularized Problems
16,Adversary Resistant Deep Neural Networks with an Application to Malware Detection
17,The Concrete Distribution: A Continuous Relaxation of Discrete Random Variables
18,Nonlocally Centralized Sparse Representation for Image Restoration
19,Is Deep Learning Safe for Robot Vision? Adversarial Examples Against the iCub Humanoid
20,Learning Adversary-Resistant Deep Neural Networks
21,"La cryptographie militaire (Auguste Kerckhoffs, 1883)"
22,"Show, Attend, Control, and Justify: Interpretable Learning for Self-Driving Cars"
23,"MagNet and ""Efficient Defenses Against Adversarial Attacks"" are Not Robust to Adversarial Examples"
24,Adversarial Example Defense: Ensembles of Weak Defenses are not Strong
25,Cascade Adversarial Machine Learning Regularized with a Unified Embedding
26,Wide Residual Networks
27,Estimating or Propagating Gradients Through Stochastic Neurons for Conditional Computation
28,PixelCNN++: Improving the PixelCNN with Discretized Logistic Mixture Likelihood and Other Modifications
29,Learning representations by back-propagating errors
30,Learning long-term dependencies with gradient descent is difficult
31,Estimating Local Intrinsic Dimensionality
32,On the (Statistical) Detection of Adversarial Examples
33,Generating Adversarial Malware Examples for Black-Box Attacks Based on GAN
34,The security of machine learning
35,DREBIN: Effective and Explainable Detection of Android Malware in Your Pocket
36,Outside the Closed World: On Using Machine Learning for Network Intrusion Detection
37,Automatic analysis of malware behavior using machine learning
38,Deep neural network based malware detection using two dimensional binary program features
39,An evaluation of Naive Bayesian anti-spam filtering
40,Semantic Adversarial Examples
41,FeatureSmith: Automatically Engineering Features for Malware Detection by Mining the Security Literature
42,MARVIN: Efficient and Comprehensive Mobile App Classification through Static and Dynamic Analysis
43,Dense Associative Memory Is Robust to Adversarial Inputs
44,Using Non-invertible Data Transformations to Build Adversary-Resistant Deep Neural Networks
45,Automated Static Code Analysis for Classifying Android Applications Using Machine Learning
46,Efficient Detection of Zero-day Android Malware Using Normalized Bernoulli Naive Bayes
47,The Motivational Pull of Video Games: A Self-Determination Theory Approach
